,Never,Drinker,Mon1_2,Wek1_2,Wek3_4,Daily,p
   Almost0, 6618 (63.6) ,27513 (61.7) , 2624 (72.1) , 4816 (63.5) , 4790 (59.1) ,15283 (60.5) ,
   > 1h/w, 1417 (13.6) , 9265 (20.8) ,  624 (17.1) , 1401 (18.5) , 1522 (18.8) , 5718 (22.6) ,
Slepgrp (%), ,, , , ,,<0.001
   < 6.9, 2805 (27.0) ,11968 (26.8) , 1019 (28.0) , 2047 (27.0) , 2103 (25.9) , 6799 (26.9) ,
   7-7.9, 3336 (32.1) ,16071 (36.0) , 1245 (34.2) , 2721 (35.8) , 2944 (36.3) , 9161 (36.3) ,
   8-8.9, 2886 (27.7) ,11432 (25.6) ,  914 (25.1) , 1965 (25.9) , 2056 (25.4) , 6497 (25.7) ,
   > 9,  887 ( 8.5) , 2543 ( 5.7) ,  254 ( 7.0) ,  439 ( 5.8) ,  435 ( 5.4) , 1415 ( 5.6) ,
Veg (%), ,, , , ,,<0.001
   Less1tm,  917 ( 8.8) , 2356 ( 5.3) ,  399 (11.0) ,  445 ( 5.9) ,  337 ( 4.2) , 1175 ( 4.7) ,
   One2tw, 2514 (24.2) ,10127 (22.7) , 1029 (28.3) , 2195 (28.9) , 1642 (20.3) , 5261 (20.8) ,
   Thre4tw, 2331 (22.4) ,11845 (26.6) , 1001 (27.5) , 1876 (24.7) , 2452 (30.2) , 6516 (25.8) ,
   daily, 2567 (24.7) ,13537 (30.4) ,  909 (25.0) , 1866 (24.6) , 1963 (24.2) , 8799 (34.8) ,
Fruit (%), ,, , , ,,<0.001
   Less1tm, 1397 (13.4) , 3270 ( 7.3) ,  523 (14.4) ,  594 ( 7.8) ,  514 ( 6.3) , 1639 ( 6.5) ,
   One2tw, 1913 (18.4) , 6761 (15.2) ,  801 (22.0) , 1515 (20.0) , 1122 (13.8) , 3323 (13.2) ,
   Thre4tw, 1926 (18.5) , 9018 (20.2) ,  845 (23.2) , 1591 (21.0) , 1922 (23.7) , 4660 (18.5) ,
   daily, 2601 (25.0) ,15939 (35.7) ,  967 (26.6) , 2216 (29.2) , 2369 (29.2) ,10387 (41.1) ,
Greentea (%), ,, , , ,,<0.001
   daily, 7680 (73.8) ,34264 (76.8) , 2804 (77.0) , 5800 (76.4) , 6146 (75.8) ,19514 (77.3) ,
   Thre3tw,  946 ( 9.1) , 4615 (10.3) ,  394 (10.8) ,  848 (11.2) ,  921 (11.4) , 2452 ( 9.7) ,
   Never,  944 ( 9.1) , 2928 ( 6.6) ,  230 ( 6.3) ,  467 ( 6.2) ,  466 ( 5.7) , 1765 ( 7.0) ,
Coffe (%), ,, , , ,,<0.001
   daily, 4121 (39.6) ,21483 (48.2) , 1682 (46.2) , 3519 (46.4) , 3597 (44.4) ,12685 (50.2) ,
   Thre3tw, 2648 (25.4) ,12514 (28.1) , 1069 (29.4) , 2279 (30.0) , 2698 (33.3) , 6468 (25.6) ,
   Never, 3387 (32.5) , 9670 (21.7) ,  835 (22.9) , 1611 (21.2) , 1620 (20.0) , 5604 (22.2) ,
Educgrp (%), ,, , , ,,<0.001
   >= 18 y.o, 2073 (19.9) ,14092 (31.6) , 1016 (27.9) , 2263 (29.8) , 2225 (27.4) , 8588 (34.0) ,
DM_hist (%), ,, , , ,,<0.001
   TRUE,  269 ( 2.6) , 1642 ( 3.7) ,  115 ( 3.2) ,  206 ( 2.7) ,  219 ( 2.7) , 1102 ( 4.4) ,
HT_hist (%), ,, , , ,,<0.001
   TRUE, 2236 (21.5) , 8782 (19.7) ,  745 (20.5) , 1446 (19.1) , 1533 (18.9) , 5058 (20.0) ,
KID_hist (%), ,, , , ,,<0.001
   TRUE,  371 ( 3.6) , 1830 ( 4.1) ,  142 ( 3.9) ,  280 ( 3.7) ,  298 ( 3.7) , 1110 ( 4.4) ,
LIV_hist (%), ,, , , ,,<0.001
   TRUE,  365 ( 3.5) , 2047 ( 4.6) ,  178 ( 4.9) ,  295 ( 3.9) ,  320 ( 3.9) , 1254 ( 5.0) ,
Menopause (%),,,,,,,<0.001
   TRUE, 8213 (78.9) ,34021 (76.3) , 2684 (73.7) , 5408 (71.3) , 5791 (71.4) ,20138 (79.7) ,
